title,url,discounted_price,original_price
"YOTAPHONE 2 Dual Screen 5"" AMOLED FHD MSM8974 Quad-core 4G Phone P05-YOTAP",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/yotaphone-2-dual-screen-5-amoled-fhd-msm8974-quad-core-4g-phone-p-161237.html,$128.99,$499.00 
5 Second Fix Liquid Plastic Welding Kit HHI-516316,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/5-second-fix-liquid-plastic-welding-kit-p-160671.html,$3.43,$5.89 
"LENOVO A806 5"" IPS HD MTK6592 Octa-core Android 4.4 4G LTE Phone P05-A806",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-a806-5-ips-hd-mtk6592-octa-core-android-44-4g-lte-phone-p-139638.html,$89.99,$229.98 
CREE XM-L T6 1-LED 3800LM 5 Modes Zoom LED Flashlight STH-485135,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/cree-xm-l-t6-1-led-3800lm-5-modes-zoom-led-flashlight-p-156642.html,$6.41,$12.77 
"LENOVO VIBE SHOT 5.0"" FHD MSM8939 Octa-core Android 6.0 4G LTE Phone P086-VBSHOT",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-vibe-shot-50-fhd-msm8939-octa-core-android-60-4g-lte-phone-p-158985.html,,
"LENOVO A806 5"" IPS HD MTK6592 Octa-core Android 4.4 4G LTE Phone P07-A806",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-a806-5-ips-hd-mtk6592-octa-core-android-44-4g-lte-phone-p-153243.html,$92.99,$229.98 
Xiaomi Miband 2 Mi Band Touch Key Screen Heart Rate Monitor E-512266,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/xiaomi-miband-2-mi-band-touch-key-screen-heart-rate-monitor-p-159061.html,$27.99,$58.97 
"SJ4000 Mini Sport Camera 1.5"" 1080P 12MP 140° Waterproof E-517389",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/sj4000-mini-sport-camera-15-1080p-12mp-140°-waterproof-p-160648.html,$21.99,$48.15 
Standard 1M Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-487297,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,$2.67,$6.67 
Original Xiaomi USB Type-C to Micro USB Adapter f Smartphone EPACB-483246,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/original-xiaomi-usb-type-to-micro-usb-adapter-p-156512.html,$1.48,$4.60 
DOOGEE X5 MAX PRO 4000mAh Quad-core MTK6737 Android 6.0 4G Phone P05-X5MAXP,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/doogee-x5-max-pro-4000mah-quad-core-mtk6737-android-60-4g-phone-p-160247.html,$88.99,$186.99 
SAMSUNG 32GB EVO Class 10 Micro SDHC Memory Card ATF-136011,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/samsung-32gb-evo-class-10-micro-sdhc-memory-card-p-75176.html,$13.06,$25.94 
XIAOMI REDMI NOTE4 PRO 3GB RAM MTK6797 Deca-core Android 6.0 4G Phone P03-HMNO4G,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/xiaomi-redmi-note4-pro-3gb-ram-mtk6797-deca-core-android-60-4g-phone-p-161395.html,$203.99,$429.99 
XIAOMI REDMI NOTE 4 PRO 3GB RAM 64GB ROM MTK6797Android 6.0 4G Phone P086-HMNO4G,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/xiaomi-redmi-note-4-pro-3gb-ram-64gb-rom-mtk6797android-60-4g-phone-p-161399.html,$209.99,$429.99 
"LENOVO VIBE SHOT 5.0"" FHD MSM8939 Octa-core Android 6.0 4G LTE Phone P07-VBSHOT",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-vibe-shot-50-fhd-msm8939-octa-core-android-60-4g-lte-phone-p-158984.html,$209.99,$268.99 
"HUAWEI Honor X2 7"" Android 5.0 Kirin 930 3GB 16GB 4G Phablet ETC-383283",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/huawei-honor-x2-7-android-50-kirin-930-3gb-16gb-4g-phablet-p-147167.html,$219.99,$305.73 
"CUBOT MAX 6.0"" HD MTK6753A Octa-core 64-bit Android 6.0 4G Phone P05-CUMAX",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/cubot-max-60-hd-mtk6753a-octa-core-64-bit-android-60-4g-phone-p-161096.html,$132.99,$286.99 
8 Colors LED Toilet Motion Activated Toilet Nightlight HHI-518555,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/8-colors-led-toilet-motion-activated-toilet-nightlight-p-161119.html,$5.95,$11.99 
Simple Package Xiaomi Mi Band 2 Screen Call Reminder Activity Trackers E-518538,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/simple-package-xiaomi-mi-band-2-screen-call-reminder-activity-trackers-p-161120.html,$25.99,$57.98 
720P IP WiFi Camera P2P PTZ ONVIF Security Camera w/ Motion Detection SCM-520819,https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/720p-ip-wifi-camera-p2p-ptz-onvif-security-camera-w-motion-detection-p-162071.html,$26.99,$62.22 
"OUKITEL K6000 PRO 5.5"" FHD 3GB RAM MTK6753 Android 6.0 4G Phone P07-K6000P",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/oukitel-k6000-pro-55-fhd-3gb-ram-mtk6753-android-60-4g-phone-p-158897.html,$153.99,$276.99 
"LENOVO A916 5.5"" HD MTK6592 Octa-core Android 4.4 4G 3G Phone P07-A916",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/lenovo-a916-55-hd-mtk6592-octa-core-4g-lte-phone-p-140349.html,$75.99,$199.98 
"OUKITEL K6000 PRO 5.5"" FHD 3GB RAM MTK6753 Android 6.0 4G Phone P086-K6000P",https://web.archive.org/web/20161123022544/http:/www.tinydeal.com/oukitel-k6000-pro-55-fhd-3gb-ram-mtk6753-android-60-4g-phone-p-158896.html,$149.99,$276.99 
